zeit,zaehlstelle,gesamt
2017-06-02 23:00:00,Erhardt,125
2017-06-02 23:00:00,Hirsch,20
2017-06-02 23:00:00,Kreuther,7
2017-06-02 23:00:00,Margareten,69
2017-06-02 23:00:00,Olympia,30
2017-06-03 00:00:00,Arnulf,34
2017-06-03 00:00:00,Erhardt,168
2017-06-03 00:00:00,Hirsch,9
2017-06-03 00:00:00,Kreuther,0
2017-06-03 00:00:00,Margareten,38
2017-06-03 00:00:00,Olympia,56
2017-06-03 01:00:00,Arnulf,21
2017-06-03 01:00:00,Erhardt,87
2017-06-03 01:00:00,Hirsch,11
2017-06-03 01:00:00,Kreuther,1
2017-06-03 01:00:00,Margareten,29
2017-06-03 01:00:00,Olympia,10
2017-06-03 02:00:00,Arnulf,9
2017-06-03 02:00:00,Erhardt,40
2017-06-03 02:00:00,Hirsch,6
2017-06-03 02:00:00,Kreuther,2
2017-06-03 02:00:00,Margareten,21
2017-06-03 02:00:00,Olympia,9
2017-06-03 03:00:00,Arnulf,8
2017-06-03 03:00:00,Erhardt,42
2017-06-03 03:00:00,Hirsch,3
2017-06-03 03:00:00,Kreuther,0
2017-06-03 03:00:00,Margareten,12
2017-06-03 03:00:00,Olympia,3
2017-06-03 04:00:00,Arnulf,3
2017-06-03 04:00:00,Erhardt,11
2017-06-03 04:00:00,Hirsch,3
2017-06-03 04:00:00,Kreuther,0
2017-06-03 04:00:00,Margareten,12
2017-06-03 04:00:00,Olympia,4
2017-06-03 05:00:00,Arnulf,11
2017-06-03 05:00:00,Erhardt,13
2017-06-03 05:00:00,Hirsch,4
2017-06-03 05:00:00,Kreuther,0
2017-06-03 05:00:00,Margareten,9
2017-06-03 05:00:00,Olympia,4
2017-06-03 06:00:00,Arnulf,15
2017-06-03 06:00:00,Erhardt,25
2017-06-03 06:00:00,Hirsch,7
2017-06-03 06:00:00,Kreuther,2
2017-06-03 06:00:00,Margareten,24
2017-06-03 06:00:00,Olympia,8
2017-06-03 07:00:00,Arnulf,29
2017-06-03 07:00:00,Erhardt,33
2017-06-03 07:00:00,Hirsch,15
2017-06-03 07:00:00,Kreuther,6
2017-06-03 07:00:00,Margareten,23
2017-06-03 07:00:00,Olympia,10
2017-06-03 08:00:00,Arnulf,35
2017-06-03 08:00:00,Erhardt,54
2017-06-03 08:00:00,Hirsch,31
2017-06-03 08:00:00,Kreuther,3
2017-06-03 08:00:00,Margareten,65
2017-06-03 08:00:00,Olympia,27
2017-06-03 09:00:00,Arnulf,67
2017-06-03 09:00:00,Erhardt,123
2017-06-03 09:00:00,Hirsch,27
2017-06-03 09:00:00,Kreuther,11
2017-06-03 09:00:00,Margareten,137
2017-06-03 09:00:00,Olympia,46
2017-06-03 10:00:00,Arnulf,86
2017-06-03 10:00:00,Erhardt,248
2017-06-03 10:00:00,Hirsch,66
2017-06-03 10:00:00,Kreuther,16
